project_name,year,PRCPTOT,RX1day,RX5day,RX7day,SDII,R10mm,R20mm,R25mm,R30mm,R100mm,CDD,CWD,R95p,R99p
dhauli ganga,2003,3533.752394914627,177.26593017578125,360.41103744506836,443.4207544326782,22.08595246821642,88,56,48,41,4,51,41,1731.8706512451172,773.9095306396484
dhauli ganga,2004,2563.892171025276,115.92723083496094,327.1997985839844,360.23973655700684,18.3135155073234,67,45,35,29,1,46,58,1029.7093925476074,207.4305419921875
dhauli ganga,2005,1312.6952096223831,110.62591552734376,229.740571975708,244.66384398937225,10.097655458633715,38,14,11,9,1,50,15,241.39673233032227,193.31244659423828
ghanvi,1993,1273.8472771644592,96.21006774902344,225.78070449829102,271.475248336792,10.272961912616607,39,15,11,8,0,52,25,421.52674674987793,148.90007400512695
ghanvi,1994,1357.0964584350586,67.29024505615234,133.5575716495514,153.40202641487122,10.685798885315423,50,19,10,5,0,97,16,217.6912498474121,67.29024505615234
ghanvi,1995,1073.1328928470612,48.07868576049805,129.53268605470657,172.63878613710403,9.17207600723984,33,11,8,5,0,30,15,193.78397369384766,0.0
ghanvi,1996,1490.2467387914658,69.22000885009766,166.29297256469727,191.36473989486694,11.463436452242044,47,24,15,12,0,70,11,522.9136772155762,69.22000885009766
ghanvi,1997,1694.9794273376465,73.98667907714844,190.37787294387817,203.92645645141602,11.151180443010832,47,26,19,15,0,32,9,651.9394969940186,181.99850845336914
ghanvi,1998,1275.8951197862625,165.23484802246094,248.75759887695312,248.75759887695312,12.632624948378837,40,18,12,7,1,52,12,492.2570381164551,238.33184814453125
ghanvi,1999,512.4466909170151,28.87872695922852,102.05016946792603,111.41476249694824,5.57007272735886,11,3,3,0,0,59,14,0.0,0.0
ghanvi,2000,980.654626250267,75.46136474609375,181.39935326576233,208.81581926345825,9.16499650701184,28,11,9,7,0,53,23,329.1116142272949,127.70626068115234
karcham wangtoo,2005,1384.5955505371094,47.33908081054688,126.5936598777771,143.76265716552734,8.241640181768508,40,15,11,9,0,71,31,481.1490955352783,227.0337142944336
karcham wangtoo,2006,950.9876698255539,26.97471046447754,82.84324169158936,110.61631107330322,6.135404321455186,31,5,2,0,0,25,24,120.13295364379883,0.0
karcham wangtoo,2007,1115.842877149582,37.135719299316406,98.5724720954895,104.3510000705719,7.062296690820139,36,10,7,6,0,43,23,291.3156986236572,37.135719299316406
karcham wangtoo,2008,1184.5007209777832,59.979339599609375,94.73533487319946,101.89908075332642,6.654498432459456,39,3,1,1,0,19,98,84.24982261657715,59.979339599609375
karcham wangtoo,2009,711.5567854642868,41.732025146484375,148.99498462677002,156.37275207042694,5.515944073366565,18,5,4,4,0,32,37,141.52306747436523,41.732025146484375
karcham wangtoo,2010,1354.7289881706238,45.001197814941406,136.5460548400879,142.08574831485748,9.092140860205529,46,16,11,8,0,29,34,469.17663383483887,162.14387893676758
karcham wangtoo,2011,1054.8928693532944,54.90608596801758,109.68433427810669,128.61789989471436,7.127654522657394,30,11,7,3,0,29,18,271.04886627197266,54.90608596801758
kashang I,2010,974.303343296051,62.35161590576172,141.38808345794678,156.42802381515503,9.105638722393,30,13,9,6,0,38,15,262.76258087158203,0.0
kashang I,2011,597.6434414386749,26.415184020996094,56.76745027303696,66.43181222677231,4.705853869595866,11,2,1,0,0,29,10,0.0,0.0
kashang I,2012,1015.8136981725693,59.0195541381836,108.94366312026978,149.11340832710266,9.405682390486753,34,17,9,7,0,51,12,272.5934028625488,0.0
kashang I,2013,1046.451140165329,185.0338287353516,318.63856875896454,324.4962219148874,12.919149878584308,22,13,10,10,1,43,4,657.8896217346191,277.4319534301758
kashang I,2014,648.0609095096588,36.97676849365234,69.47760993242264,70.7909420132637,7.807962765176613,23,8,4,1,0,48,6,36.97676849365234,0.0
kashang I,2015,853.376641869545,63.84761047363281,144.03545331954956,193.0982060432434,8.797697338861289,27,11,9,7,0,31,8,296.2996139526367,0.0
kashang I,2016,485.0162715911865,31.59673500061035,46.39818799495697,61.23765009641647,5.449621029114455,14,4,4,1,0,75,7,31.59673500061035,0.0
koldam,2004,766.5446952581406,37.97860336303711,84.45757150650024,104.59008407592773,6.608143924639143,25,5,4,2,0,63,33,145.01311492919922,0.0
koldam,2005,947.3068524599075,42.02527618408203,117.52349519729614,139.5720837265253,6.624523443775577,30,5,2,2,0,94,31,126.75873756408691,80.65395736694336
koldam,2006,953.1503337621689,30.791921615600582,84.24023723602295,102.15553140640259,6.573450577670131,31,5,1,1,0,26,22,97.32198524475098,0.0
koldam,2007,1073.5902704000473,37.93778610229492,115.31171655654907,124.1205062866211,7.303335172789438,36,13,6,4,0,42,20,264.41337394714355,0.0
koldam,2008,1255.061397433281,60.28264617919922,127.44160652160645,145.97667503356934,7.515337709181323,40,11,6,2,0,51,90,250.28120231628418,60.28264617919922
